STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
1,89,1902,1089001902,19.02,Census Tract 19.02,108991467,Gurley,108991674,Huntsville,0.001258125
1,89,10800,1089010800,108,Census Tract 108,108991467,Gurley,108991674,Huntsville,0.006188551
1,89,10701,1089010701,107.01,Census Tract 107.01,108991575,Hazel Green,108991674,Huntsville,0.008712957
1,89,11014,1089011014,110.14,Census Tract 110.14,108392232,Mooresville,108992052,Madison,0.001076437
1,89,10301,1089010301,103.01,Census Tract 103.01,108991575,Hazel Green,108991575,Hazel Green,0.008691271
1,89,10302,1089010302,103.02,Census Tract 103.02,108991575,Hazel Green,108991575,Hazel Green,0.007048116
1,89,10200,1089010200,102,Census Tract 102,108991467,Gurley,108992358,New Market,0.01070049
1,89,11021,1089011021,110.21,Census Tract 110.21,108993176,Triana,108992052,Madison,0.001120948
1,89,11200,1089011200,112,Census Tract 112,110392970,Somerville,108993176,Triana,0.007965953
1,89,1801,1089001801,18.01,Census Tract 18.01,108991674,Huntsville,108991674,Huntsville,0.001068337
1,89,1901,1089001901,19.01,Census Tract 19.01,108991467,Gurley,108991674,Huntsville,0.000612467
1,89,11011,1089011011,110.11,Census Tract 110.11,108991674,Huntsville,108992052,Madison,0.001095119
1,89,11022,1089011022,110.22,Census Tract 110.22,108993176,Triana,108992052,Madison,0.000878554
1,89,10622,1089010622,106.22,Census Tract 106.22,108991674,Huntsville,108991674,Huntsville,0.002124416
1,89,403,1089000403,4.03,Census Tract 4.03,108991674,Huntsville,108991674,Huntsville,0.003601913
1,89,10502,1089010502,105.02,Census Tract 105.02,108992061,Madison Crossroads,108991674,Huntsville,0.003932613
1,89,10501,1089010501,105.01,Census Tract 105.01,108992061,Madison Crossroads,108991674,Huntsville,0.005262173
1,89,11400,1089011400,114,Census Tract 114,108991467,Gurley,108992349,New Hope,0.011701521
1,89,901,1089000901,9.01,Census Tract 9.01,108991674,Huntsville,108991674,Huntsville,0.000957294
1,89,2921,1089002921,29.21,Census Tract 29.21,110391809,Laceys Spring,108991674,Huntsville,0.000914443
1,89,10612,1089010612,106.12,Census Tract 106.12,108991674,Huntsville,108991674,Huntsville,0.001465878
1,89,10702,1089010702,107.02,Census Tract 107.02,108991674,Huntsville,108991674,Huntsville,0.003503398
1,89,602,1089000602,6.02,Census Tract 6.02,108991674,Huntsville,108991674,Huntsville,0.000161575
1,59,973600,1059973600,9736,Census Tract 9736,105992691,Red Bay,105993312,Vina,0.027104431
1,59,973300,1059973300,9733,Census Tract 9733,107992286,Mount Hope,105992799,Russellville,0.016356548
1,59,973500,1059973500,9735,Census Tract 9735,105992691,Red Bay,105992691,Red Bay,0.014703425
1,59,973100,1059973100,9731,Census Tract 9731,103391926,Littleville,105992799,Russellville,0.031456438
1,59,972900,1059972900,9729,Census Tract 9729,103391863,Leighton,105992799,Russellville,0.015786634
1,59,973700,1059973700,9737,Census Tract 9737,107992286,Mount Hope,105992547,Phil Campbell,0.034664234
1,59,973400,1059973400,9734,Census Tract 9734,103390567,Cherokee,105992691,Red Bay,0.01906659
1,59,973000,1059973000,9730,Census Tract 9730,103391926,Littleville,105992799,Russellville,0.002269348
1,59,973200,1059973200,9732,Census Tract 9732,105992799,Russellville,105992799,Russellville,0.002839307
1,89,10401,1089010401,104.01,Census Tract 104.01,108991575,Hazel Green,108992061,Madison Crossroads,0.007480775
1,89,1000,1089001000,10,Census Tract 10,108991674,Huntsville,108991674,Huntsville,0.000228903
1,89,902,1089000902,9.02,Census Tract 9.02,108991674,Huntsville,108991674,Huntsville,0.000221243
1,89,1200,1089001200,12,Census Tract 12,108991674,Huntsville,108991674,Huntsville,0.000270781
1,69,42100,1069042100,421,Census Tract 421,106192952,Slocomb,106992070,Madrid,0.018170725
1,69,40700,1069040700,407,Census Tract 407,106990900,Dothan,106990900,Dothan,0.000219704
1,69,41000,1069041000,410,Census Tract 410,106990900,Dothan,106990900,Dothan,0.000509447
1,69,41200,1069041200,412,Census Tract 412,106990900,Dothan,106990900,Dothan,0.000209576
1,69,41500,1069041500,415,Census Tract 415,106791584,Headland-Newville,106990900,Dothan,0.00418904
1,69,41100,1069041100,411,Census Tract 411,106990900,Dothan,106990900,Dothan,0.000765098
1,89,201,1089000201,2.01,Census Tract 2.01,108991674,Huntsville,108991674,Huntsville,0.000751173
1,89,2200,1089002200,22,Census Tract 22,108991674,Huntsville,108991674,Huntsville,0.000155098
1,89,301,1089000301,3.01,Census Tract 3.01,108991674,Huntsville,108991674,Huntsville,0.000369222
1,89,302,1089000302,3.02,Census Tract 3.02,108991674,Huntsville,108991674,Huntsville,0.000381263
1,89,202,1089000202,2.02,Census Tract 2.02,108991674,Huntsville,108991674,Huntsville,0.0005349
1,89,2722,1089002722,27.22,Census Tract 27.22,108991467,Gurley,108991674,Huntsville,0.0005684
1,89,2911,1089002911,29.11,Census Tract 29.11,108992349,New Hope,108991674,Huntsville,0.000488992
1,13,952800,1013952800,9528,Census Tract 9528,101391422,Greenville,101391422,Greenville,0.000328708
1,89,2802,1089002802,28.02,Census Tract 28.02,110391809,Laceys Spring,108991674,Huntsville,0.001197916
1,89,601,1089000601,6.01,Census Tract 6.01,108991674,Huntsville,108991674,Huntsville,0.00015143
1,89,502,1089000502,5.02,Census Tract 5.02,108991674,Huntsville,108991674,Huntsville,0.000196491
1,89,501,1089000501,5.01,Census Tract 5.01,108991674,Huntsville,108991674,Huntsville,0.000276205
1,89,503,1089000503,5.03,Census Tract 5.03,108991674,Huntsville,108991674,Huntsville,0.000166072
1,89,701,1089000701,7.01,Census Tract 7.01,108991674,Huntsville,108991674,Huntsville,0.000260694
1,33,20704,1033020704,207.04,Census Tract 207.04,103393186,Tri-Cities,103393186,Tri-Cities,0.000716319
1,33,20703,1033020703,207.03,Census Tract 207.03,103393186,Tri-Cities,103393186,Tri-Cities,0.000801394
1,97,6502,1097006502,65.02,Census Tract 65.02,109791386,Grand Bay,109791386,Grand Bay,0.014555438
1,97,6501,1097006501,65.01,Census Tract 65.01,109791386,Grand Bay,109791386,Grand Bay,0.003832884
1,97,6702,1097006702,67.02,Census Tract 67.02,109791386,Grand Bay,109791386,Grand Bay,0.004229442
1,97,6407,1097006407,64.07,Census Tract 64.07,109791386,Grand Bay,109793105,Tanner Williams,0.016038314
1,97,6406,1097006406,64.06,Census Tract 64.06,109791386,Grand Bay,109793105,Tanner Williams,0.002917534
1,97,7202,1097007202,72.02,Census Tract 72.02,109791386,Grand Bay,109790216,Bayou La Batre,0.020531654
1,97,7201,1097007201,72.01,Census Tract 72.01,109791386,Grand Bay,109790216,Bayou La Batre,0.004216721
1,97,6701,1097006701,67.01,Census Tract 67.01,109791386,Grand Bay,109791386,Grand Bay,0.004335111
