NAME,DESCRIPTION,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4
AMTRAK POLICE DEPARTMENT,OTHER,203-773-6000,50 UNION AVENUE,,NEW HAVEN,CT,6519,1754
ANDOVER POLICE DEPARTMENT,MUNICIPAL,860-742-0235,17 SCHOOL ROAD,,ANDOVER,CT,6232,1526
AVERY POINT CAMPUS POLICE - SUBSTATION,COLLEGE OR UNIVERSITY,860-405-9088,1084 SHENNECOSSETT ROAD,,GROTON,CT,6340,6048
CAPITAL COMMUNITY TECHNICAL COLLEGE CAMPUS POLICE,COLLEGE OR UNIVERSITY,860-906-5075,950 MAIN STREET,,HARTFORD,CT,6103,1207
CENTRAL CONNECTICUT STATE UNIVERSITY POLICE,COLLEGE OR UNIVERSITY,860-832-2375,1615 STANLEY STREET,,NEW BRITAIN,CT,6050,2439
CHESHIRE POLICE DEPARTMENT,MUNICIPAL,203-271-5500,500 HIGHLAND AVENUE,,CHESHIRE,CT,6410,2249
CLINTON POLICE DEPARTMENT,MUNICIPAL,860-669-0451,170 EAST MAIN STREET,,CLINTON,CT,6413,2115
COLCHESTER POLICE DEPARTMENT,MUNICIPAL,860-537-2989,127 NORWICH AVENUE,,COLCHESTER,CT,6415,1230
CONNECTICUT DEPARTMENT OF ENVIRONMENTAL CONSERVATION POLICE - HEADQUARTERS,OTHER,860-424-3012,79 ELM STREET,,HARTFORD,CT,6106,1650
CONNECTICUT STATE CAPITOL POLICE,OTHER,860-240-0240,210 CAPITOL AVENUE,,HARTFORD,CT,6106,1535
CONNECTICUT STATE POLICE,STATE POLICE,860-685-8000,1111 COUNTRY CLUB ROAD,,MIDDLETOWN,CT,6457,2389
CONNECTICUT STATE POLICE - DURHAM RESIDENT STATE TROOPER,STATE POLICE,860-349-2325,24 TOWN HOUSE ROAD,,DURHAM,CT,6422,2118
CONNECTICUT STATE POLICE - EASTERN DISTRICT HEADQUARTERS,STATE POLICE,860-886-5558,401 WEST THAMES STREET,,NORWICH,CT,6360,7155
CONNECTICUT STATE POLICE - ESSEX RESIDENT STATE TROOPER,STATE POLICE,860-767-1054,29 WEST AVENUE,,ESSEX,CT,6426,1140
