"","X","ProfileNo","OrganizationIdentificationID","DepartmentName","OrganizationActivityText","ReportingOfficerIdentificationID","InterventionIdentificationID","IdentificationCategoryDescriptionText","InterventionDate","Month","SubjectRaceCode","SubjectEthnicityCode","SubjectSexCode","SubjectAge","ResidentIndicator","TownRecidentIndicator","InterventionLocationName","InterventionLocationDescriptionText","InterventionLocationLatitude","DegreeY","MinY","SecondY","InterventionLocationLongitude","DegreeX","MinX","SecondX","InterventionReasonCode","InterventionTechniqueCode","InterventionDurationCode","TowedIndicator","StatuteCodeIdentificationID","Reason.for.Stop","StatutatoryCitation","VehicleSearchedIndicator","SearchAuthorizationCode","ContrabandIndicator","CustodialArrestIndicator","InterventionDispositionCode","InterventionDispositionDate","InterventionDispositionReasonText","IsStatuteCodeValid","IsStatutatoryCitationValid","IsaTest","RecordCount","SourceId","SourceReferenceId","InterventionTime","town"
"15029",15029,1918628,"CT0006200","Hamden","Racial Profile","100000476","1300042567","Incident ID","Tuesday, October 01, 2013",NA,"W","N","F",28,TRUE,FALSE,"HAMDEN              ","school st",41.38451,NA,NA,NA,-72.901478,NA,NA,NA,"V","G",1,FALSE,"14-296aa(b)","Cell Phone","14-296aa(b)",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.706423611111111,"New Britain"
"15030",15030,1918831,"CT0006200","Hamden","Racial Profile","100000656","1300042441","Incident ID","Tuesday, October 01, 2013",NA,"B","N","M",33,TRUE,TRUE,"HAMDEN              ","cherrya ann and bowen",41.336623,NA,NA,NA,-72.939935,NA,NA,NA,"V","G",1,FALSE,"14-301","Stop Sign","14-215",FALSE,"N",FALSE,FALSE,"M",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.10275462962963,"New Britain"
"15031",15031,1918648,"CT0006200","Hamden","Racial Profile","100000479","1300042578","Incident ID","Tuesday, October 01, 2013",NA,"B","N","M",25,TRUE,FALSE,"HAMDEN              ","dixwell/maplewood",41.360929,NA,NA,NA,-72.924754,NA,NA,NA,"V","G",1,FALSE,"14-296aa(b)","Cell Phone","14-296aa(b)",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.75755787037037,"New Britain"
"15032",15032,1918426,"CT0006200","Hamden","Racial Profile","100000118","1300042515","Incident ID","Tuesday, October 01, 2013",NA,"W","N","F",33,TRUE,FALSE,"NEW HAVEN           ","whitney ave ",41.3238,NA,NA,NA,-72.916855,NA,NA,NA,"V","B",1,FALSE,"14-299","Traffic Control Signal","14-299",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.533900462962963,"New Britain"
"15033",15033,1918418,"CT0006200","Hamden","Racial Profile","100000109","1300042522","Incident ID","Tuesday, October 01, 2013",NA,"W","N","M",45,TRUE,TRUE,"HAMDEN              ","SHERMAN N ROCKY TOP",41.406527,NA,NA,NA,-72.913558,NA,NA,NA,"V","G",1,FALSE,"14-218a*","Speed Related",NA,FALSE,"N",FALSE,FALSE,"I",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.563819444444444,"New Britain"
"15034",15034,1918642,"CT0006200","Hamden","Racial Profile","100000477","1300042469","Incident ID","Tuesday, October 01, 2013",NA,"W","H","F",19,TRUE,TRUE,"Hamden              ","180 westwoods road",41.4215,NA,NA,NA,-72.911,NA,NA,NA,"V","G",1,FALSE,"14-301","Stop Sign",NA,FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.378738425925926,"New Britain"
"15035",15035,1918665,"CT0006200","Hamden","Racial Profile","100000546","1300042595","Incident ID","Tuesday, October 01, 2013",NA,"W","N","M",20,FALSE,FALSE,"HAMDEN              ","ives st.",41.403813,NA,NA,NA,-72.898319,NA,NA,NA,"V","B",1,FALSE,"14-232(1)","Moving Violation",NA,FALSE,"N",FALSE,FALSE,"I",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.864340277777778,"New Britain"
"15036",15036,1918830,"CT0006200","Hamden","Racial Profile","100000656","1300042431","Incident ID","Tuesday, October 01, 2013",NA,"B","N","M",23,TRUE,TRUE,"HAMDEN              ","Easton Street and Bowen Street",41.337011,NA,NA,NA,-72.937909,NA,NA,NA,"V","G",1,FALSE,"14-301","Stop Sign",NA,FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.0562731481481481,"New Britain"
"15037",15037,1918727,"CT0006200","Hamden","Racial Profile","100000576","1300042425","Incident ID","Tuesday, October 01, 2013",NA,"B","N","M",25,TRUE,FALSE,"HAMDEN              ","1795 dixwell ave",41.3607,NA,NA,NA,-72.9245,NA,NA,NA,"E","G",1,FALSE,"14-96b","Defective Lights","14-96b",FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.0336689814814815,"New Britain"
"15038",15038,1918729,"CT0006200","Hamden","Racial Profile","100000576","1300042433","Incident ID","Tuesday, October 01, 2013",NA,"W","N","F",26,TRUE,FALSE,"HAMDEN              ","rt15/dixwell ave",41.365732,NA,NA,NA,-72.92184,NA,NA,NA,"E","G",1,FALSE,"14-96b","Defective Lights",NA,FALSE,"N",FALSE,FALSE,"V",NA,NA,NA,NA,"FALSE",1,"CT0006200","1.30795e+17",0.0641898148148148,"New Britain"
