"","type","lat","lon","sb_lat","sb_lon","feet","string_check","sb_name"
"1","Starbucks",41.836191,-87.664087,41.835532,-87.674862,2946.18,"41.836191 -87.664087","41.835532 -87.674862"
"2","Starbucks",33.304236,-111.863162,33.307142,-111.87457,3642.5,"33.304236 -111.863162","33.307142 -111.87457"
"3","Starbucks",32.584079,-97.132982,32.589969,-97.144431,4126.64,"32.584079 -97.132982","32.589969 -97.144431"
"4","Starbucks",47.784499,-122.212815,47.79016,-122.216065,2214.23,"47.784499 -122.212815","47.79016 -122.216065"
"5","Starbucks",47.269703,-122.488686,47.271238,-122.489027,566.26,"47.269703 -122.488686","47.271238 -122.489027"
"6","Starbucks",38.665096,-121.223983,38.678165,-121.224517,4762.26,"38.665096 -121.223983","38.678165 -121.224517"
"7","Starbucks",37.650157,-122.491863,37.661088,-122.477619,5731.41,"37.650157 -122.491863","37.661088 -122.477619"
"8","Starbucks",32.784868,-79.946092,32.785276,-79.938178,2436.86,"32.784868 -79.946092","32.785276 -79.938178"
"9","Starbucks",38.903546,-77.017687,38.9037,-77.023464,1645.05,"38.903546 -77.017687","38.9037 -77.023464"
"10","Starbucks",33.41261,-110.836858,33.41354,-111.547935,216998.07,"33.41261 -110.836858","33.41354 -111.547935"
"11","Starbucks",32.670973,-97.003531,32.680177,-97.007268,3540.75,"32.670973 -97.003531","32.680177 -97.007268"
"12","Starbucks",32.746237,-96.585858,32.811188,-96.623163,26267.16,"32.746237 -96.585858","32.811188 -96.623163"
"13","Starbucks",33.37734,-112.16692,33.377602,-112.168661,540,"33.37734 -112.16692","33.377602 -112.168661"
"14","Starbucks",47.309825,-119.558382,47.142476,-119.277765,92669.27,"47.309825 -119.558382","47.142476 -119.277765"
"15","Starbucks",47.809963,-122.205925,47.80922,-122.205721,275.64,"47.809963 -122.205925","47.80922 -122.205721"
"16","Starbucks",38.062328,-122.533141,38.063441,-122.534155,499.52,"38.062328 -122.533141","38.063441 -122.534155"
"17","Starbucks",37.782999,-122.431552,37.783421,-122.432888,415.57,"37.782999 -122.431552","37.783421 -122.432888"
"18","Starbucks",44.06317,-123.023855,44.060278,-122.998463,6757.55,"44.06317 -123.023855","44.060278 -122.998463"
"19","Starbucks",33.638766,-112.292002,33.637847,-112.276692,4672.02,"33.638766 -112.292002","33.637847 -112.276692"
"20","Starbucks",37.797042,-121.192121,37.797043,-121.192117,1.21,"37.797042 -121.192121","37.797043 -121.192117"
"21","Starbucks",29.721297,-95.441295,29.729627,-95.438027,3202.1,"29.721297 -95.441295","29.729627 -95.438027"
"22","Starbucks",33.416245,-111.873732,33.392017,-111.864725,9234.84,"33.416245 -111.873732","33.392017 -111.864725"
"23","Starbucks",39.825588,-75.499366,39.802241,-75.505496,8677.4,"39.825588 -75.499366","39.802241 -75.505496"
"24","Starbucks",33.7712,-117.48209,33.740958,-117.432999,18541.2,"33.7712 -117.48209","33.740958 -117.432999"
"25","Starbucks",32.83768,-109.73538,32.263262,-109.84228,211573.91,"32.83768 -109.73538","32.263262 -109.84228"
"26","Starbucks",47.095958,-122.3547,47.096323,-122.356345,430.82,"47.095958 -122.3547","47.096323 -122.356345"
"27","Starbucks",32.937469,-96.60521,32.956669,-96.616218,7759.53,"32.937469 -96.60521","32.956669 -96.616218"
"28","Starbucks",44.044969,-122.933799,44.045677,-122.927566,1659.12,"44.044969 -122.933799","44.045677 -122.927566"
"29","Starbucks",33.553498,-112.13423,33.581401,-112.123365,10679.59,"33.553498 -112.13423","33.581401 -112.123365"
"30","Starbucks",46.255505,-119.892554,46.219339,-119.790049,29099.99,"46.255505 -119.892554","46.219339 -119.790049"
"31","Starbucks",44.499579,-103.859101,44.080059,-103.250859,220813.45,"44.499579 -103.859101","44.080059 -103.250859"
"32","Starbucks",47.613097,-122.201309,47.610608,-122.200706,920.03,"47.613097 -122.201309","47.610608 -122.200706"
"33","Starbucks",32.854783,-96.993203,32.840711,-96.992939,5120.78,"32.854783 -96.993203","32.840711 -96.992939"
"34","Starbucks",36.825134,-107.9946,36.768751,-108.147634,49288,"36.825134 -107.9946","36.768751 -108.147634"
"35","Starbucks",33.759776,-118.147131,33.761733,-118.138435,2737.38,"33.759776 -118.147131","33.761733 -118.138435"
"36","Starbucks",38.536032,-105.994536,38.553318,-106.92581,266436.02,"38.536032 -105.994536","38.553318 -106.92581"
"37","Starbucks",34.218145,-118.607022,34.202798,-118.597512,6281.95,"34.218145 -118.607022","34.202798 -118.597512"
"38","Starbucks",37.801195,-122.215642,37.811189,-122.243417,8811.45,"37.801195 -122.215642","37.811189 -122.243417"
"39","Starbucks",38.986509,-119.943637,38.960117,-119.941661,9629.05,"38.986509 -119.943637","38.960117 -119.941661"
"40","Starbucks",37.280872,-122.031484,37.279609,-122.031852,472.18,"37.280872 -122.031484","37.279609 -122.031852"
"41","Starbucks",33.743727,-118.100435,33.75843,-118.112927,6561.06,"33.743727 -118.100435","33.75843 -118.112927"
"42","Starbucks",34.116526,-117.774863,34.119187,-117.781306,2177.38,"34.116526 -117.774863","34.119187 -117.781306"
"43","Starbucks",45.781539,-122.546601,45.78141,-122.548748,549.81,"45.781539 -122.546601","45.78141 -122.548748"
