STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
2,198,300,2198000300,3,Census Tract 3,213039010,Ketchikan,219834575,Hyder,0.076592052
2,198,940100,2198940100,9401,Census Tract 9401,219864310,Prince of Wales,219848873,Metlakatla Indian Community,0.078513701
2,198,200,2198000200,2,Census Tract 2,219864310,Prince of Wales,219864310,Prince of Wales,0.059733972
2,198,100,2198000100,1,Census Tract 1,219864310,Prince of Wales,219864310,Prince of Wales,3.812184302
2,164,100,2164000100,1,Census Tract 1,215041200,Kodiak Island,216442780,Lake and Peninsula,13.06164401
2,16,200,2016000200,2,Census Tract 2,201601615,Aleutians West,201601615,Aleutians West,0.805353855
2,16,100,2016000100,1,Census Tract 1,201601615,Aleutians West,201601615,Aleutians West,4.053518838
2,170,502,2170000502,5.02,Census Tract 5.02,212238460,Kenai-Cook Inlet,217047440,Matanuska-Susitna,0.18109277
2,170,501,2170000501,5.01,Census Tract 5.01,217047440,Matanuska-Susitna,217047440,Matanuska-Susitna,0.024117968
2,170,1202,2170001202,12.02,Census Tract 12.02,217047440,Matanuska-Susitna,217047440,Matanuska-Susitna,0.003191839
2,170,1003,2170001003,10.03,Census Tract 10.03,217047440,Matanuska-Susitna,217047440,Matanuska-Susitna,0.002485115
2,170,603,2170000603,6.03,Census Tract 6.03,217047440,Matanuska-Susitna,217047440,Matanuska-Susitna,0.009525885
2,185,100,2185000100,1,Census Tract 1,218555970,North Slope,218555970,North Slope,0.15795494
2,185,300,2185000300,3,Census Tract 3,218555970,North Slope,218555970,North Slope,2.463164964
2,185,200,2185000200,2,Census Tract 2,218555970,North Slope,218555970,North Slope,53.40285923
2,180,100,2180000100,1,Census Tract 1,218856270,Northwest Arctic,218054970,Nome,13.3784766
2,180,200,2180000200,2,Census Tract 2,218054970,Nome,218054970,Nome,0.463304128
2,170,1201,2170001201,12.01,Census Tract 12.01,217047440,Matanuska-Susitna,217047440,Matanuska-Susitna,0.003811779
2,170,706,2170000706,7.06,Census Tract 7.06,217047440,Matanuska-Susitna,217047440,Matanuska-Susitna,0.02350635
2,170,601,2170000601,6.01,Census Tract 6.01,202003050,Anchorage,217047440,Matanuska-Susitna,0.028486917
