STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
5,7,21406,5007021406,214.06,Census Tract 214.06,500793630,3,500793630,3,0.001072794
5,7,20404,5007020404,204.04,Census Tract 204.04,500793634,5,500793630,3,0.000260338
5,7,21308,5007021308,213.08,Census Tract 213.08,500793632,4,500793632,4,0.000894212
5,139,950800,5139950800,9508,Census Tract 9508,513991218,El Dorado,513991218,El Dorado,0.001422488
5,13,480200,5013480200,4802,Census Tract 4802,510393711,Union,501393639,7,0.034267563
5,71,952200,5071952200,9522,Census Tract 9522,507191683,Hickey,507192910,Pittsburg,0.005968937
5,71,952100,5071952100,9521,Census Tract 9521,507192994,Prairie,507193447,Spadra,0.004038655
5,71,952000,5071952000,9520,Census Tract 9520,507192994,Prairie,507192994,Prairie,0.003348312
5,71,951900,5071951900,9519,Census Tract 9519,507192046,King,507193447,Spadra,0.002862306
5,71,951800,5071951800,9518,Census Tract 9518,508393372,Short Mountain,507193876,Ward,0.005725029
5,71,951700,5071951700,9517,Census Tract 9517,507191683,Hickey,507192847,Perry,0.04004781
5,61,950200,5061950200,9502,Census Tract 9502,506190327,Blackland,506192661,Nashville,0.006508477
5,61,950100,5061950100,9501,Census Tract 9501,506190465,Brewer,506193663,Umpire,0.026979033
5,61,950300,5061950300,9503,Census Tract 9503,506192661,Nashville,506192661,Nashville,0.00203576
5,7,20405,5007020405,204.05,Census Tract 204.05,500793634,5,500793632,4,0.001277785
5,119,2208,5119002208,22.08,Census Tract 22.08,511990300,Big Rock,511990300,Big Rock,0.000210573
5,119,2103,5119002103,21.03,Census Tract 21.03,511990300,Big Rock,511990300,Big Rock,0.000272055
5,1,480400,5001480400,4804,Census Tract 4804,500192574,Morris,500191563,Gum Pond,0.005916168
5,119,3712,5119003712,37.12,Census Tract 37.12,511991731,Hill,511991731,Hill,0.00058538
5,119,3208,5119003208,32.08,Census Tract 32.08,511991731,Hill,511991731,Hill,0.000307383
5,119,1501,5119001501,15.01,Census Tract 15.01,511990300,Big Rock,511990300,Big Rock,0.000282779
5,1,480300,5001480300,4803,Census Tract 4803,500192574,Morris,500191563,Gum Pond,0.003112966
5,55,480801,5055480801,4808.01,Census Tract 4808.01,505590804,Clark,505593468,Spring Grove,0.000833316
5,119,2104,5119002104,21.04,Census Tract 21.04,511990300,Big Rock,511990300,Big Rock,0.000354021
5,13,480100,5013480100,4801,Census Tract 4801,501190819,Clay,501393635,5,0.021745057
5,121,960200,5121960200,9602,Census Tract 9602,507593603,Thacker,512191899,Janes Creek,0.013392537
5,121,960100,5121960100,9601,Census Tract 9601,502190496,Brown-Carpenter,512192220,Little Black,0.008675536
5,87,960400,5087960400,9604,Census Tract 9604,508792055,Kings River,508790414,Boston,0.024199613
5,87,960300,5087960300,9603,Census Tract 9603,508793888,War Eagle,508792481,Mill Creek,0.015459912
5,87,960200,5087960200,9602,Census Tract 9602,508793888,War Eagle,508793888,War Eagle,0.008522318
5,87,960100,5087960100,9601,Census Tract 9601,508793888,War Eagle,508790621,California,0.021738961
5,119,2209,5119002209,22.09,Census Tract 22.09,511990300,Big Rock,511990300,Big Rock,0.000244437
5,119,4215,5119004215,42.15,Census Tract 42.15,511990300,Big Rock,511990300,Big Rock,0.000524882
5,131,10202,5131010202,102.02,Census Tract 102.02,513190741,Center,513190741,Center,0.002273644
5,131,10201,5131010201,102.01,Census Tract 102.01,513190741,Center,513191320,Fort Chaffee,0.008128959
5,79,960600,5079960600,9606,Census Tract 9606,506990390,Bogy,507990075,Auburn,0.014592238
5,119,4214,5119004214,42.14,Census Tract 42.14,511990300,Big Rock,511990300,Big Rock,0.000230535
5,23,480202,5023480202,4802.02,Census Tract 4802.02,502391656,Heber,502391329,Francis,0.009854706
5,23,480502,5023480502,4805.02,Census Tract 4805.02,504592589,Mountain,502390750,Center Post,0.008008045
5,23,480201,5023480201,4802.01,Census Tract 4802.01,502392931,Poff,502392931,Poff,0.007204114
5,23,480501,5023480501,4805.01,Census Tract 4805.01,514592397,Marion,502392583,Mountain,0.006549535
5,85,20206,5085020206,202.06,Census Tract 202.06,508591503,Gray,508594131,York,0.001389583
