STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,subid.GEOID,subid.NAME,legit_geo,legit_name,legit_area
4,19,4067,4019004067,40.67,Census Tract 40.67,401993570,Tucson,401993570,Tucson,0.000177147
4,19,3707,4019003707,37.07,Census Tract 37.07,401993570,Tucson,401993570,Tucson,0.000145568
4,19,3003,4019003003,30.03,Census Tract 30.03,401993570,Tucson,401993570,Tucson,0.000196537
4,19,3706,4019003706,37.06,Census Tract 37.06,401993570,Tucson,401993570,Tucson,0.000131075
4,19,3303,4019003303,33.03,Census Tract 33.03,401993570,Tucson,401993570,Tucson,0.000287448
4,19,4426,4019004426,44.26,Census Tract 44.26,401993570,Tucson,401993570,Tucson,0.000475403
4,19,4068,4019004068,40.68,Census Tract 40.68,401993570,Tucson,401993570,Tucson,0.000388224
4,19,4331,4019004331,43.31,Census Tract 43.31,401990153,Arivaca,401990153,Arivaca,0.000520614
4,19,4511,4019004511,45.11,Census Tract 45.11,401993570,Tucson,401993570,Tucson,0.000154447
4,19,4333,4019004333,43.33,Census Tract 43.33,401993570,Tucson,401990153,Arivaca,0.001243514
4,19,4725,4019004725,47.25,Census Tract 47.25,401993570,Tucson,401993570,Tucson,0.000429191
4,13,103206,4013103206,1032.06,Census Tract 1032.06,401392601,Phoenix,401392601,Phoenix,0.000250025
4,13,103205,4013103205,1032.05,Census Tract 1032.05,401392601,Phoenix,401392601,Phoenix,0.00025602
4,13,93104,4013093104,931.04,Census Tract 931.04,401392601,Phoenix,401392601,Phoenix,0.000381451
4,13,104501,4013104501,1045.01,Census Tract 1045.01,401392601,Phoenix,401392601,Phoenix,0.000121477
4,13,104502,4013104502,1045.02,Census Tract 1045.02,401392601,Phoenix,401392601,Phoenix,0.000130305
4,13,105002,4013105002,1050.02,Census Tract 1050.02,401392601,Phoenix,401392601,Phoenix,0.00078083
4,13,107900,4013107900,1079,Census Tract 1079,401392601,Phoenix,401392601,Phoenix,0.000759588
4,13,108000,4013108000,1080,Census Tract 1080,401392601,Phoenix,401392601,Phoenix,0.000368484
4,13,116725,4013116725,1167.25,Census Tract 1167.25,401392601,Phoenix,401392601,Phoenix,0.000402546
4,13,116728,4013116728,1167.28,Census Tract 1167.28,401392601,Phoenix,401392601,Phoenix,0.000552929
4,13,116721,4013116721,1167.21,Census Tract 1167.21,401392601,Phoenix,401392601,Phoenix,0.000222271
4,13,116727,4013116727,1167.27,Census Tract 1167.27,401392601,Phoenix,401392601,Phoenix,0.00044108
4,13,420208,4013420208,4202.08,Census Tract 4202.08,401392601,Phoenix,401392601,Phoenix,0.000251103
4,13,420209,4013420209,4202.09,Census Tract 4202.09,401392601,Phoenix,401392601,Phoenix,0.000251429
4,13,420202,4013420202,4202.02,Census Tract 4202.02,401392601,Phoenix,401392601,Phoenix,0.000251159
4,13,420207,4013420207,4202.07,Census Tract 4202.07,401392601,Phoenix,401392601,Phoenix,0.000350423
4,13,82010,4013082010,820.1,Census Tract 820.10,401392601,Phoenix,401392601,Phoenix,0.000125911
4,13,40507,4013040507,405.07,Census Tract 405.07,401392601,Phoenix,401393774,Wickenburg,0.000745763
4,13,40506,4013040506,405.06,Census Tract 405.06,401392601,Phoenix,401393774,Wickenburg,0.000617966
4,13,103207,4013103207,1032.07,Census Tract 1032.07,401392601,Phoenix,401392601,Phoenix,0.000237642
4,13,103208,4013103208,1032.08,Census Tract 1032.08,401392601,Phoenix,401392601,Phoenix,0.000269776
4,13,103209,4013103209,1032.09,Census Tract 1032.09,401392601,Phoenix,401392601,Phoenix,0.000640062
4,13,116729,4013116729,1167.29,Census Tract 1167.29,401392601,Phoenix,401392601,Phoenix,0.000363032
4,13,319101,4013319101,3191.01,Census Tract 3191.01,401392601,Phoenix,401392601,Phoenix,3.21E-05
4,13,319403,4013319403,3194.03,Census Tract 3194.03,401392601,Phoenix,401392601,Phoenix,0.000258427
4,13,318900,4013318900,3189,Census Tract 3189,401392601,Phoenix,401392601,Phoenix,0.00025097
4,13,319000,4013319000,3190,Census Tract 3190,401392601,Phoenix,401392601,Phoenix,0.000250937
4,13,318800,4013318800,3188,Census Tract 3188,401392601,Phoenix,401392601,Phoenix,0.000249605
4,13,319703,4013319703,3197.03,Census Tract 3197.03,401392601,Phoenix,401392601,Phoenix,0.000266654
4,13,420303,4013420303,4203.03,Census Tract 4203.03,401392601,Phoenix,401392601,Phoenix,0.000251826
4,13,319500,4013319500,3195,Census Tract 3195,401392601,Phoenix,401392601,Phoenix,0.000249686
4,13,420211,4013420211,4202.11,Census Tract 4202.11,401392601,Phoenix,401392601,Phoenix,0.000250744
4,13,420210,4013420210,4202.1,Census Tract 4202.10,401392601,Phoenix,401392601,Phoenix,0.000252219
4,13,420212,4013420212,4202.12,Census Tract 4202.12,401392601,Phoenix,401392601,Phoenix,0.000250688
4,13,319404,4013319404,3194.04,Census Tract 3194.04,401392601,Phoenix,401392601,Phoenix,0.000198272
4,13,420301,4013420301,4203.01,Census Tract 4203.01,401392601,Phoenix,401392601,Phoenix,0.00016081
4,13,420302,4013420302,4203.02,Census Tract 4203.02,401392601,Phoenix,401392601,Phoenix,0.000249548
4,13,319704,4013319704,3197.04,Census Tract 3197.04,401392601,Phoenix,401392601,Phoenix,0.000761205
4,13,420501,4013420501,4205.01,Census Tract 4205.01,401392601,Phoenix,401392601,Phoenix,0.000254266
4,13,420304,4013420304,4203.04,Census Tract 4203.04,401392601,Phoenix,401392601,Phoenix,0.000524616
4,13,103211,4013103211,1032.11,Census Tract 1032.11,401392601,Phoenix,401392601,Phoenix,0.000263653
4,13,103214,4013103214,1032.14,Census Tract 1032.14,401392601,Phoenix,401392601,Phoenix,0.000252441
4,13,103212,4013103212,1032.12,Census Tract 1032.12,401392601,Phoenix,401392601,Phoenix,0.000253278
4,13,103215,4013103215,1032.15,Census Tract 1032.15,401392601,Phoenix,401392601,Phoenix,0.000263405
4,13,103210,4013103210,1032.1,Census Tract 1032.10,401392601,Phoenix,401392601,Phoenix,0.000226918
4,13,105300,4013105300,1053,Census Tract 1053,401392601,Phoenix,401392601,Phoenix,0.00025771
4,13,108100,4013108100,1081,Census Tract 1081,401392601,Phoenix,401392601,Phoenix,0.000142471
4,13,105200,4013105200,1052,Census Tract 1052,401392601,Phoenix,401392601,Phoenix,0.000394066
4,13,105101,4013105101,1051.01,Census Tract 1051.01,401392601,Phoenix,401392601,Phoenix,0.000586488
4,13,110001,4013110001,1100.01,Census Tract 1100.01,401392601,Phoenix,401392601,Phoenix,0.000135183
4,13,112301,4013112301,1123.01,Census Tract 1123.01,401392601,Phoenix,401392601,Phoenix,0.000127003
4,13,112402,4013112402,1124.02,Census Tract 1124.02,401392601,Phoenix,401392601,Phoenix,0.000126041
4,13,61300,4013061300,613,Census Tract 613,401392601,Phoenix,401392601,Phoenix,0.0003631
4,13,61200,4013061200,612,Census Tract 612,401392601,Phoenix,401392601,Phoenix,0.000381915
4,13,61009,4013061009,610.09,Census Tract 610.09,401392601,Phoenix,401392601,Phoenix,0.001480011
4,13,61100,4013061100,611,Census Tract 611,401392601,Phoenix,401392601,Phoenix,0.000982548
4,13,71503,4013071503,715.03,Census Tract 715.03,401392601,Phoenix,401392601,Phoenix,0.000417445
4,13,104600,4013104600,1046,Census Tract 1046,401392601,Phoenix,401392601,Phoenix,0.000254587
4,19,2202,4019002202,22.02,Census Tract 22.02,401993570,Tucson,401993570,Tucson,0.000394112
4,19,1303,4019001303,13.03,Census Tract 13.03,401993570,Tucson,401993570,Tucson,9.26E-05
4,19,4723,4019004723,47.23,Census Tract 47.23,401993570,Tucson,401993570,Tucson,0.000361181
4,19,1304,4019001304,13.04,Census Tract 13.04,401993570,Tucson,401993570,Tucson,0.00015525
4,19,4069,4019004069,40.69,Census Tract 40.69,401993570,Tucson,401993570,Tucson,0.000197757
4,19,4070,4019004070,40.7,Census Tract 40.70,401993570,Tucson,401993570,Tucson,0.000109473
4,13,216902,4013216902,2169.02,Census Tract 2169.02,401392601,Phoenix,401392601,Phoenix,0.000250416
4,13,217101,4013217101,2171.01,Census Tract 2171.01,401392601,Phoenix,401392601,Phoenix,0.000126283
4,13,216826,4013216826,2168.26,Census Tract 2168.26,401392601,Phoenix,401392601,Phoenix,0.00025427
4,13,217001,4013217001,2170.01,Census Tract 2170.01,401392601,Phoenix,401392601,Phoenix,0.000276482
4,13,216816,4013216816,2168.16,Census Tract 2168.16,401392601,Phoenix,401392601,Phoenix,0.001566838
4,13,216813,4013216813,2168.13,Census Tract 2168.13,401392601,Phoenix,401392601,Phoenix,0.000445473
4,19,4122,4019004122,41.22,Census Tract 41.22,401993570,Tucson,401993570,Tucson,0.000318145
4,13,71504,4013071504,715.04,Census Tract 715.04,401392601,Phoenix,401392601,Phoenix,0.000326776
4,19,4421,4019004421,44.21,Census Tract 44.21,401993570,Tucson,401992040,Marana,0.005858156
4,19,4071,4019004071,40.71,Census Tract 40.71,401993570,Tucson,401993570,Tucson,0.00012755
4,19,4072,4019004072,40.72,Census Tract 40.72,401993570,Tucson,401993570,Tucson,0.000120181
4,13,71505,4013071505,715.05,Census Tract 715.05,401392601,Phoenix,401392601,Phoenix,0.000583351
4,13,111402,4013111402,1114.02,Census Tract 1114.02,401392601,Phoenix,401392601,Phoenix,0.000127698
4,13,111203,4013111203,1112.03,Census Tract 1112.03,401392601,Phoenix,401392601,Phoenix,3.96E-05
4,13,111300,4013111300,1113,Census Tract 1113,401392601,Phoenix,401392601,Phoenix,0.000254233
4,13,111204,4013111204,1112.04,Census Tract 1112.04,401392601,Phoenix,401392601,Phoenix,0.000645917
4,13,980700,4013980700,9807,Census Tract 9807,401392601,Phoenix,401392601,Phoenix,0.008257545
4,13,217102,4013217102,2171.02,Census Tract 2171.02,401392601,Phoenix,401392601,Phoenix,0.000124756
4,13,217201,4013217201,2172.01,Census Tract 2172.01,401392601,Phoenix,401392601,Phoenix,0.000201071
4,19,2703,4019002703,27.03,Census Tract 27.03,401993570,Tucson,401993570,Tucson,0.000156455
4,19,1802,4019001802,18.02,Census Tract 18.02,401993570,Tucson,401993570,Tucson,0.000107751
4,19,1801,4019001801,18.01,Census Tract 18.01,401993570,Tucson,401993570,Tucson,0.000232519
4,19,2905,4019002905,29.05,Census Tract 29.05,401993570,Tucson,401993570,Tucson,0.000188335
4,13,523006,4013523006,5230.06,Census Tract 5230.06,401390561,Chandler,401390561,Chandler,0.000251597
4,13,523102,4013523102,5231.02,Census Tract 5231.02,401390561,Chandler,401390561,Chandler,0.000251716
4,13,523103,4013523103,5231.03,Census Tract 5231.03,401390561,Chandler,401390561,Chandler,0.00025334
4,13,422105,4013422105,4221.05,Census Tract 4221.05,401392601,Phoenix,401392601,Phoenix,0.000123733
4,13,422104,4013422104,4221.04,Census Tract 4221.04,401392601,Phoenix,401392601,Phoenix,0.000147612
4,13,422102,4013422102,4221.02,Census Tract 4221.02,401392601,Phoenix,401392601,Phoenix,0.000123445
4,13,422106,4013422106,4221.06,Census Tract 4221.06,401392601,Phoenix,401392601,Phoenix,0.000122031
4,13,422103,4013422103,4221.03,Census Tract 4221.03,401392601,Phoenix,401392601,Phoenix,7.04E-05
4,13,422209,4013422209,4222.09,Census Tract 4222.09,401390561,Chandler,401392601,Phoenix,0.000253085
4,13,422107,4013422107,4221.07,Census Tract 4221.07,401392601,Phoenix,401392601,Phoenix,6.16E-05
