FiscalYear,MonthYear,Town,AdmMonth,FYMonthOrder,AdmYear,MonthTotal
2014,July-13,Ansonia,7,1,2013,42
2014,August-13,Ansonia,8,2,2013,43
2014,September-13,Ansonia,9,3,2013,39
2014,October-13,Ansonia,10,4,2013,33
2014,November-13,Ansonia,11,5,2013,38
2014,December-13,Ansonia,12,6,2013,45
2014,January-14,Ansonia,1,7,2014,35
2014,February-14,Ansonia,2,8,2014,38
2014,March-14,Ansonia,3,9,2014,45
2014,April-14,Ansonia,4,10,2014,46
2014,May-14,Ansonia,5,11,2014,40
2014,June-14,Ansonia,6,12,2014,56
2015,July-14,Ansonia,7,1,2014,54
2015,August-14,Ansonia,8,2,2014,53
2015,September-14,Ansonia,9,3,2014,50
2015,October-14,Ansonia,10,4,2014,60
2015,November-14,Ansonia,11,5,2014,41
2015,December-14,Ansonia,12,6,2014,50
2015,January-15,Ansonia,1,7,2015,45
2015,February-15,Ansonia,2,8,2015,42
2015,March-15,Ansonia,3,9,2015,56
2015,April-15,Ansonia,4,10,2015,42
2015,May-15,Ansonia,5,11,2015,38
2015,June-15,Ansonia,6,12,2015,61
2016,July-15,Ansonia,7,1,2015,38
2016,August-15,Ansonia,8,2,2015,45
2016,September-15,Ansonia,9,3,2015,51
2016,October-15,Ansonia,10,4,2015,41
2016,November-15,Ansonia,11,5,2015,38
2016,December-15,Ansonia,12,6,2015,44
2016,January-16,Ansonia,1,7,2016,37
2016,February-16,Ansonia,2,8,2016,42
2016,March-16,Ansonia,3,9,2016,37
2016,April-16,Ansonia,4,10,2016,45
2016,May-16,Ansonia,5,11,2016,53
2016,June-16,Ansonia,6,12,2016,50
2014,July-13,Berlin,7,1,2013,27
2014,August-13,Berlin,8,2,2013,24
2014,September-13,Berlin,9,3,2013,22
2014,October-13,Berlin,10,4,2013,22
2014,November-13,Berlin,11,5,2013,16
2014,December-13,Berlin,12,6,2013,22
2014,January-14,Berlin,1,7,2014,21
2014,February-14,Berlin,2,8,2014,19
2014,March-14,Berlin,3,9,2014,25
2014,April-14,Berlin,4,10,2014,18
2014,May-14,Berlin,5,11,2014,24
2014,June-14,Berlin,6,12,2014,29
2015,July-14,Berlin,7,1,2014,35
2015,August-14,Berlin,8,2,2014,23
2015,September-14,Berlin,9,3,2014,27
2015,October-14,Berlin,10,4,2014,24
2015,November-14,Berlin,11,5,2014,13
2015,December-14,Berlin,12,6,2014,33
2015,January-15,Berlin,1,7,2015,22
2015,February-15,Berlin,2,8,2015,23
2015,March-15,Berlin,3,9,2015,22
2015,April-15,Berlin,4,10,2015,28
2015,May-15,Berlin,5,11,2015,25
2015,June-15,Berlin,6,12,2015,28
2016,July-15,Berlin,7,1,2015,28
2016,August-15,Berlin,8,2,2015,21
2016,September-15,Berlin,9,3,2015,26
2016,October-15,Berlin,10,4,2015,24
2016,November-15,Berlin,11,5,2015,20
2016,December-15,Berlin,12,6,2015,22
2016,January-16,Berlin,1,7,2016,21
2016,February-16,Berlin,2,8,2016,32
2016,March-16,Berlin,3,9,2016,30
2016,April-16,Berlin,4,10,2016,22
2016,May-16,Berlin,5,11,2016,26
2016,June-16,Berlin,6,12,2016,22
2014,July-13,Bethel,7,1,2013,18
2014,August-13,Bethel,8,2,2013,25
2014,September-13,Bethel,9,3,2013,23
2014,October-13,Bethel,10,4,2013,24
2014,November-13,Bethel,11,5,2013,23
2014,December-13,Bethel,12,6,2013,27
2014,January-14,Bethel,1,7,2014,22
2014,February-14,Bethel,2,8,2014,24
2014,March-14,Bethel,3,9,2014,20
2014,April-14,Bethel,4,10,2014,25
2014,May-14,Bethel,5,11,2014,17
2014,June-14,Bethel,6,12,2014,30
2015,July-14,Bethel,7,1,2014,28
2015,August-14,Bethel,8,2,2014,24
2015,September-14,Bethel,9,3,2014,23
2015,October-14,Bethel,10,4,2014,23
2015,November-14,Bethel,11,5,2014,15
2015,December-14,Bethel,12,6,2014,33
2015,January-15,Bethel,1,7,2015,22
2015,February-15,Bethel,2,8,2015,21
2015,March-15,Bethel,3,9,2015,31
2015,April-15,Bethel,4,10,2015,33
2015,May-15,Bethel,5,11,2015,27
2015,June-15,Bethel,6,12,2015,28
2016,July-15,Bethel,7,1,2015,26
2016,August-15,Bethel,8,2,2015,20
2016,September-15,Bethel,9,3,2015,29
2016,October-15,Bethel,10,4,2015,25
2016,November-15,Bethel,11,5,2015,19
2016,December-15,Bethel,12,6,2015,21
2016,January-16,Bethel,1,7,2016,24
2016,February-16,Bethel,2,8,2016,18
2016,March-16,Bethel,3,9,2016,41
2016,April-16,Bethel,4,10,2016,24
2016,May-16,Bethel,5,11,2016,25
2016,June-16,Bethel,6,12,2016,31
2014,July-13,Bloomfield,7,1,2013,20
2014,August-13,Bloomfield,8,2,2013,25
2014,September-13,Bloomfield,9,3,2013,19
2014,October-13,Bloomfield,10,4,2013,26
2014,November-13,Bloomfield,11,5,2013,21
2014,December-13,Bloomfield,12,6,2013,22
2014,January-14,Bloomfield,1,7,2014,21
2014,February-14,Bloomfield,2,8,2014,14
2014,March-14,Bloomfield,3,9,2014,30
2014,April-14,Bloomfield,4,10,2014,26
2014,May-14,Bloomfield,5,11,2014,31
2014,June-14,Bloomfield,6,12,2014,26
