"","type","lat","lon","dd_lat","dd_lon","feet"
"1","Starbucks",41.836191,-87.664087,41.830003,-87.665851,2305.62
"2","Starbucks",33.304236,-111.863162,33.3057,-111.87694,4243.38
"3","Starbucks",32.584079,-97.132982,32.665782,-97.133868,29728.09
"4","Starbucks",47.784499,-122.212815,41.159306,-111.940207,3603410.76
"5","Starbucks",47.269703,-122.488686,41.159306,-111.940207,3545853.19
"6","Starbucks",38.665096,-121.223983,34.891325,-116.999202,1848550.03
"7","Starbucks",37.650157,-122.491863,34.891325,-116.999202,1904894.09
"8","Starbucks",32.784868,-79.946092,32.781915,-79.931515,4607.3
"9","Starbucks",38.903546,-77.017687,38.89781,-77.02059,2246.61
"10","Starbucks",33.41261,-110.836858,33.247931,-111.562722,229674.92
"11","Starbucks",32.670973,-97.003531,32.59989,-96.944596,31592.38
"12","Starbucks",32.746237,-96.585858,32.861111,-96.643053,45341.61
"13","Starbucks",33.37734,-112.16692,33.31388,-112.1601,23185.72
"14","Starbucks",47.309825,-119.558382,41.159306,-111.940207,2999502.92
"15","Starbucks",47.809963,-122.205925,41.159306,-111.940207,3607849.98
"16","Starbucks",38.062328,-122.533141,34.891325,-116.999202,1994421.51
"17","Starbucks",37.782999,-122.431552,34.891325,-116.999202,1914798.33
"18","Starbucks",44.06317,-123.023855,41.159306,-111.940207,3162803.5
"19","Starbucks",33.638766,-112.292002,33.610492,-112.239542,18997.55
"20","Starbucks",37.797042,-121.192121,34.891325,-116.999202,1625717.96
"21","Starbucks",29.721297,-95.441295,29.705737,-95.474346,11921.07
"22","Starbucks",33.416245,-111.873732,33.407969,-111.910812,11709.64
"23","Starbucks",39.825588,-75.499366,39.82324,-75.491486,2372.85
"24","Starbucks",33.7712,-117.48209,33.225323,-117.392682,200501.34
"25","Starbucks",32.83768,-109.73538,32.2213,-110.7901,394931.7
"26","Starbucks",47.095958,-122.3547,41.159306,-111.940207,3482295.39
"27","Starbucks",32.937469,-96.60521,32.908793,-96.582669,12518.56
"28","Starbucks",44.044969,-122.933799,41.159306,-111.940207,3138215.26
"29","Starbucks",33.553498,-112.13423,33.552972,-112.10106,10107.96
"30","Starbucks",46.255505,-119.892554,41.159306,-111.940207,2803344.16
"31","Starbucks",44.499579,-103.859101,41.115568,-100.761932,1487006.96
"32","Starbucks",47.613097,-122.201309,41.159306,-111.940207,3562736.41
"33","Starbucks",32.854783,-96.993203,32.892205,-97.036603,19051.78
"34","Starbucks",36.825134,-107.9946,36.745467,-108.165281,57790.65
"35","Starbucks",33.759776,-118.147131,33.225323,-117.392682,301219.15
"36","Starbucks",38.536032,-105.994536,38.834483,-104.839339,347214.43
