tract,town
9001010101,Greenwich
9001010102,Greenwich
9001010201,Greenwich
9001010202,Greenwich
9001010300,Greenwich
9001010400,Greenwich
9001010500,Greenwich
9001010600,Greenwich
9001010700,Greenwich
9001010800,Greenwich
9001010900,Greenwich
9001011000,Greenwich
9001011100,Greenwich
9001011200,Greenwich
9001011300,Greenwich
9001020100,Stamford
9001020200,Stamford
9001020300,Stamford
9001020400,Stamford
9001020500,Stamford
9001020600,Stamford
9001020700,Stamford
9001020800,Stamford
9001020900,Stamford
9001021000,Stamford
9001021100,Stamford
9001021200,Stamford
9001021300,Stamford
9001021400,Stamford
9001021500,Stamford
9001021600,Stamford
9001021700,Stamford
9001021801,Stamford
9001021802,Stamford
9001021900,Stamford
9001022000,Stamford
9001022100,Stamford
9001022200,Stamford
9001022300,Stamford
9001022400,Stamford
9001030100,Darien
9001030200,Darien
9001030300,Darien
9001030400,Darien
9001030500,Darien
9001035100,New Canaan
9001035200,New Canaan
9001035300,New Canaan
9001035400,New Canaan
9001042500,Norwalk
9001042600,Norwalk
9001042700,Norwalk
9001042800,Norwalk
9001042900,Norwalk
9001043000,Norwalk
9001043100,Norwalk
9001043200,Norwalk
9001043300,Norwalk
9001043400,Norwalk
9001043500,Norwalk
9001043600,Norwalk
9001043700,Norwalk
9001043800,Norwalk
9001043900,Norwalk
9001044000,Norwalk
9001044100,Norwalk
9001044200,Norwalk
9001044300,Norwalk
9001044400,Norwalk
9001044500,Norwalk
9001044600,Norwalk
9001045101,Wilton
9001045102,Wilton
9001045200,Wilton
9001045300,Wilton
9001045400,Wilton
9001050100,Westport
9001050200,Westport
9001050300,Westport
9001050400,Westport
9001050500,Westport
9001050600,Westport
9001055100,Weston
9001055200,Weston
9001060100,Fairfield
9001060200,Fairfield
9001060300,Fairfield
9001060400,Fairfield
9001060500,Fairfield
9001060600,Fairfield
9001060700,Fairfield
9001060800,Fairfield
9001060900,Fairfield
9001061000,Fairfield
9001061100,Fairfield
9001061200,Fairfield
9001061300,Fairfield
9001061400,Fairfield
9001061500,Fairfield
9001061600,Fairfield
9001070100,Fairfield
9001070200,Bridgeport
9001070300,Bridgeport
9001070400,Bridgeport
9001070500,Bridgeport
9001070600,Bridgeport
9001070900,Bridgeport
9001071000,Bridgeport
9001071100,Bridgeport
9001071200,Bridgeport
9001071300,Bridgeport
9001071400,Bridgeport
9001071600,Bridgeport
9001071900,Bridgeport
9001072000,Bridgeport
9001072100,Bridgeport
9001072200,Bridgeport
9001072300,Bridgeport
9001072400,Bridgeport
9001072500,Bridgeport
9001072600,Bridgeport
9001072700,Bridgeport
9001072800,Bridgeport
9001072900,Bridgeport
9001073000,Bridgeport
9001073100,Bridgeport
9001073200,Bridgeport
9001073300,Bridgeport
9001073400,Bridgeport
9001073500,Bridgeport
9001073600,Bridgeport
9001073700,Bridgeport
9001073800,Bridgeport
9001073900,Bridgeport
9001074000,Bridgeport
9001074300,Bridgeport
9001074400,Bridgeport
9001080100,Stratford
9001080200,Stratford
9001080400,Stratford
9001080500,Stratford
9001080600,Stratford
9001080700,Stratford
9001080800,Stratford
9001080900,Stratford
9001081000,Stratford
9001081100,Stratford
9001081200,Stratford
9001081300,Stratford
9001090100,Trumbull
9001090200,Trumbull
9001090300,Trumbull
9001090400,Trumbull
9001090500,Trumbull
9001090600,Trumbull
9001090700,Trumbull
9001100100,Monroe
9001100200,Monroe
9001100300,Monroe
9001105100,Easton
9001105200,Easton
9001110100,Shelton
9001110201,Shelton
9001110202,Shelton
9001110301,Shelton
9001110302,Shelton
9001110400,Shelton
9001110500,Shelton
9001110600,Shelton
9001200100,Bethel
9001200200,Bethel
9001200301,Bethel
9001200302,Bethel
9001205100,Brookfield
9001205200,Brookfield
9001205300,Brookfield
9001210100,Danbury
9001210200,Danbury
9001210300,Danbury
9001210400,Danbury
9001210500,Danbury
9001210600,Danbury
9001210701,Danbury
9001210702,Danbury
9001210800,Danbury
9001210900,Danbury
9001211000,Danbury
9001211100,Danbury
9001211200,Danbury
9001211300,Danbury
9001211400,Danbury
9001220100,New Fairfield
9001220200,New Fairfield
9001220300,New Fairfield
9001230100,Newtown
9001230200,Newtown
9001230300,Newtown
9001230400,Newtown
9001230501,Newtown
9001230502,Newtown
9001240100,Redding
9001240200,Redding
9001245100,Ridgefield
9001245200,Ridgefield
9001245300,Ridgefield
9001245400,Ridgefield
9001245500,Ridgefield
9001245600,Ridgefield
9001257100,Sherman
9001257200,Bridgeport
9003330100,Hartland
9003400100,Berlin
9003400200,Berlin
9003400300,Berlin
9003405100,Bristol
9003405200,Bristol
9003405300,Bristol
9003405401,Bristol
9003405402,Bristol
9003405500,Bristol
9003405600,Bristol
9003405700,Bristol
9003405800,Bristol
9003405900,Bristol
9003406001,Bristol
9003406002,Bristol
9003406100,Bristol
9003410101,Burlington
9003410102,Burlington
9003415300,New Britain
9003415400,New Britain
9003415500,New Britain
9003415600,New Britain
9003415700,New Britain
9003415800,New Britain
9003415900,New Britain
9003416000,New Britain
9003416100,New Britain
9003416200,New Britain
9003416300,New Britain
9003416400,New Britain
9003416500,New Britain
9003416600,New Britain
9003416700,New Britain
9003416800,New Britain
9003417100,New Britain
9003417200,New Britain
9003417300,New Britain
9003417400,New Britain
9003417500,New Britain
9003420400,Plainville
9003420500,Plainville
9003420600,Plainville
9003420700,Plainville
9003430100,Southington
9003430201,Southington
9003430202,Southington
9003430203,Southington
9003430301,Southington
9003430302,Southington
9003430400,Southington
9003430500,Southington
9003430601,Southington
9003430602,Southington
9003460100,Farmington
9003460202,Farmington
9003460203,Farmington
9003460204,Farmington
9003460301,Farmington
9003460302,Farmington
9003462101,Avon
9003462102,Avon
9003462201,Avon
9003462202,Avon
9003464101,Canton
9003464102,Canton
9003466101,Simsbury
9003466102,Simsbury
9003466201,Simsbury
9003466202,Simsbury
9003466300,Simsbury
9003466400,Simsbury
9003468101,Granby
9003468102,Granby
9003470100,East Granby
9003471100,Bloomfield
9003471200,Bloomfield
9003471300,Bloomfield
9003471400,Bloomfield
9003471500,Bloomfield
9003473100,Bloomfield
9003473400,Windsor
9003473501,Windsor
9003473502,Windsor
9003473601,Windsor
9003473602,Windsor
9003473700,Windsor
9003473800,Windsor
9003476100,Windsor Locks
9003476200,Windsor Locks
9003476300,Windsor Locks
9003477101,Enfield
9003477102,Enfield
9003477200,Suffield
9003480300,Somers
9003480400,Somers
9003480500,Somers
9003480600,Somers
9003480700,Somers
9003480800,Somers
9003480900,Somers
9003481000,Somers
9003481100,Somers
9003481200,Somers
9003481300,Somers
9003484100,East Windsor
9003484200,East Windsor
9003487100,South Windsor
9003487201,South Windsor
9003487202,South Windsor
9003487300,South Windsor
9003487400,South Windsor
9003487500,South Windsor
9003490100,Rocky Hill
9003490302,Rocky Hill
9003492100,Wethersfield
9003492200,Wethersfield
9003492300,Wethersfield
9003492400,Wethersfield
9003492500,Wethersfield
9003492600,Wethersfield
9003494100,Newington
9003494201,Newington
9003494202,Newington
9003494300,Newington
9003494400,Newington
9003494500,Newington
9003494600,Newington
9003496100,West Hartford
9003496200,West Hartford
9003496300,West Hartford
9003496400,West Hartford
9003496500,West Hartford
9003496600,West Hartford
9003496700,West Hartford
9003496800,West Hartford
9003496900,West Hartford
9003497000,West Hartford
9003497100,West Hartford
9003497200,West Hartford
9003497300,West Hartford
9003497400,West Hartford
9003497500,West Hartford
9003497600,West Hartford
9003497700,West Hartford
9003500100,Hartford
9003500200,Hartford
9003500300,Hartford
9003500400,Hartford
9003500500,Hartford
9003500700,Hartford
9003500900,Hartford
9003501200,Hartford
9003501300,Hartford
9003501400,Hartford
9003501500,Hartford
9003501700,Hartford
9003501800,Hartford
9003502100,Hartford
9003502300,Hartford
9003502400,Hartford
9003502500,Hartford
9003502600,Hartford
9003502700,Hartford
9003502800,Hartford
9003502900,Hartford
9003503000,Hartford
9003503100,Hartford
9003503300,Hartford
9003503500,Hartford
9003503700,Hartford
9003503800,Hartford
9003503900,Hartford
9003504000,Hartford
9003504100,Hartford
9003504200,Hartford
9003504300,Hartford
9003504500,Hartford
9003504800,Hartford
9003504900,Hartford
9003510100,East Hartford
9003510200,East Hartford
9003510300,East Hartford
9003510400,East Hartford
9003510500,East Hartford
9003510600,East Hartford
9003510700,East Hartford
9003510800,East Hartford
9003510900,East Hartford
9003511000,East Hartford
9003511100,East Hartford
9003511200,East Hartford
9003511300,East Hartford
9003511400,East Hartford
9003514101,Manchester
9003514102,Manchester
9003514200,Manchester
9003514300,Manchester
9003514400,Manchester
9003514500,Manchester
9003514600,Manchester
9003514700,Manchester
9003514800,Manchester
9003514900,Manchester
9003515000,Manchester
9003515101,Manchester
9003515102,Manchester
9003515200,Glastonbury
9003520100,Glastonbury
9003520201,Glastonbury
9003520202,Glastonbury
9003520301,Glastonbury
9003520302,Glastonbury
9003520400,Glastonbury
9003520501,Glastonbury
9003524100,Marlborough
9003524200,Rocky Hill
9003524300,Enfield
9003524400,Hartford
9003524501,Hartford
9003524502,Hartford
9003524600,Hartford
9003524700,Hartford
9003980000,Windsor Locks
9005250100,Bridgewater
9005253100,New Milford
9005253200,New Milford
9005253300,NewMilford
9005253400,New Milford
9005253500,New Milford
9005253600,New Milford
9005260200,North Canaan
9005261100,Salisbury
9005262100,Sharon
9005263200,Cornwall
9005265100,Warren
9005266100,Kent
9005267100,Washington
9005268100,Roxbury
9005290100,Barkhamsted
9005293100,Colebrook
9005296100,Goshen
9005298300,Harwinton
9005298400,Harwinton
9005300100,Litchfield
9005300400,Litchfield
9005300500,Litchfield
9005303100,Morris
9005306100,New Hartford
9005310100,Torrington
9005310200,Torrington
9005310300,Torrington
9005310400,Torrington
9005310500,Torrington
9005310601,Torrington
9005310602,Torrington
9005310700,Torrington
9005310801,Torrington
9005310803,Torrington
9005310804,Torrington
9005320100,Winchester
9005320200,Winchester
9005342100,Bethlehem
9005349100,Thomaston
9005349200,Thomaston
9005360100,Watertown
9005360200,Watertown
9005360300,Watertown
9005360400,Watertown
9005362101,Woodbury
9005362102,Woodbury
9005425300,Plymouth
9005425400,Plymouth
9005425500,Plymouth
9005425600, Norfolk
9007541100, Middletown
9007541200, Middletown
9007541300, Middletown
9007541401, Middletown
9007541402, Middletown
9007541500, Middletown
9007541600, Middletown
9007541700, Middletown
9007542000, Middletown
9007542100, Middlefield
9007542200, Middlefield
9007550100, East Hampton
9007550201, East Hampton
9007550202, East Hampton
9007560100, Portland
9007560200, Portland
9007570100, Cromwell
9007570200, Cromwell
9007570300, Cromwell
9007580100, Middlefield
9007585100, Durham
9007590100, Haddam
9007595101, East Haddam
9007595102, East Haddam
9007600100, Chester
9007610100, Clinton
9007610200, Clinton
9007610300, Clinton
9007610400, Clinton
9007620100, Deep River
9007630100, Essex
9007640100, Killingworth
9007670100, Old Saybrook
9007670200, Old Saybrook
9007680100, Westbrook
9007680200, Middletown
9007990100, Clinton
9009120100, Derby
9009120200, Derby
9009125100, Ansonia
9009125200, Ansonia
9009125300, Ansonia
9009125400, Ansonia
9009130101, Seymour
9009130102, Seymour
9009130200, Seymour
9009140100, New Haven
9009140200, New Haven
9009140300, New Haven
9009140400, New Haven
9009140500, New Haven
9009140600, New Haven
9009140700, New Haven
9009140800, New Haven
9009140900, New Haven
9009141000, New Haven
9009141100, New Haven
9009141200, New Haven
9009141300, New Haven
9009141400, New Haven
9009141500, New Haven
9009141600, New Haven
9009141800, New Haven
9009141900, New Haven
9009142000, New Haven
9009142100, New Haven
9009142200, New Haven
9009142300, New Haven
9009142400, New Haven
9009142500, New Haven
9009142601, New Haven
9009142603, New Haven
9009142604, New Haven
9009142700, New Haven
9009142800, New Haven
9009150100, Milford
9009150200, Milford
9009150300, Milford
9009150400, Milford
9009150500, Milford
9009150600, Milford
9009150700, Milford
9009150800, Milford
9009150900, Milford
9009151000, Milford
9009151100, Milford
9009151200, Milford
9009154100, West Haven
9009154200, West Haven
9009154500, West Haven
9009154600, West Haven
9009154700, West Haven
9009154800, West Haven
9009154900, West Haven
9009155000, West Haven
9009155100, West Haven
9009157100, Orange
9009157200, Orange
