geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
01000US,United States,323127515,0,234644039,111971,40893369,64285,2676399,33067,17556935,43427,595986,11433,16334352,120967,10426435,90471,1543301,28829,8883134,79439
04000US01,Alabama,4863300,0,3316384,6545,1301102,7468,24509,3218,65611,3698,1503,588,70333,6866,83858,7172,6234,1867,77624,7251
04000US02,Alaska,741894,0,477895,3267,23753,1978,108056,3723,45580,3124,9937,849,12712,3236,63961,5261,2471,1127,61490,5177
04000US04,Arizona,6931071,0,5254944,21891,299674,6611,306247,6886,220438,4835,14140,1489,585948,20745,249680,13653,47677,6631,202003,11874
04000US05,Arkansas,2988248,0,2290066,5262,464516,4871,18859,2030,41781,2680,8808,1292,86797,6034,77421,6277,9744,3265,67677,5375
04000US06,California,39250017,0,23420234,62421,2265280,14911,290133,15511,5602074,18509,150521,6036,5642125,65579,1879650,30456,387758,14520,1491892,26569
04000US08,Colorado,5540545,0,4654921,13381,234142,5678,54743,4588,175951,4618,8325,1566,228102,12919,184361,9839,32714,3540,151647,8610
04000US09,Connecticut,3576452,0,2741892,12294,378932,7603,9887,2998,161950,3536,1259,597,171008,10843,111524,8304,23037,4745,88487,6412
04000US10,Delaware,952065,0,659091,5072,209911,4102,4055,1038,35646,1583,2053,1731,15595,4525,25714,3500,2115,989,23599,3313
04000US11,District of Columbia,681170,0,277268,3530,320554,2554,2004,567,26436,1256,41,68,37132,4302,17735,2345,2127,919,15608,2127
04000US12,Florida,20612439,0,15574165,29122,3310428,22138,52738,5590,559393,7440,12540,2425,570424,25434,532751,22197,87007,8723,445744,19815
04000US13,Georgia,10310371,0,6054861,18041,3254495,14771,37939,5767,398897,6597,6503,2014,299220,21983,258456,13861,39125,5742,219331,13487
04000US15,Hawaii,1428557,0,357994,5134,25898,2036,2649,849,543448,10631,144568,6675,12321,2548,341679,13209,9171,1745,332508,13205
04000US16,Idaho,1683140,0,1510119,7573,11437,2001,26596,2540,24406,2239,2375,1144,66137,7319,42070,3150,6791,2455,35279,2757
04000US17,Illinois,12801539,0,9123763,24574,1813477,9631,30470,3672,684783,5820,4851,1396,822784,24826,321411,13961,67653,6745,253758,12627
04000US18,Indiana,6633053,0,5536418,10307,617745,7312,17515,2431,141451,4471,3526,1505,157755,11013,158643,8640,19324,3690,139319,7958
04000US19,Iowa,3134693,0,2834162,5131,111867,3477,10488,1711,74805,2572,3949,1754,42129,4612,57293,3933,3661,1388,53632,3884
04000US20,Kansas,2907289,0,2458966,7467,166551,4607,21620,2567,79741,3466,2922,1343,74123,7806,103366,5640,9093,2160,94273,5586
04000US21,Kentucky,4436974,0,3866333,6634,366157,6162,11140,2294,61311,2866,2307,1047,37591,5245,92135,6909,9385,1825,82750,6265
04000US22,Louisiana,4681666,0,2901495,5946,1514755,7221,25508,2617,77921,2506,1030,495,68208,6424,92749,8594,7506,2320,85243,7721
04000US23,Maine,1331479,0,1257120,1699,19963,1930,7893,1203,17499,1510,214,200,2450,826,26340,2599,669,418,25671,2481
04000US24,Maryland,6016447,0,3397255,13132,1793593,9302,15234,2478,376518,4946,2480,1196,230326,12625,201041,10942,21692,4374,179349,10050
04000US25,Massachusetts,6811779,0,5350175,16114,506677,8067,12547,2138,440845,5571,3758,1532,285412,15924,212365,11429,30061,3904,182304,11158
04000US26,Michigan,9928300,0,7793481,10297,1363336,9361,51161,3519,292514,4773,2967,841,118621,8994,306220,11961,26535,4239,279685,10897
04000US27,Minnesota,5519952,0,4596566,6383,331308,5844,63229,2949,258899,4686,1452,500,111852,6950,156646,7970,14236,2862,142410,7004
04000US28,Mississippi,2988726,0,1748734,4269,1134958,6466,13260,1533,26708,2267,631,519,30583,4250,33852,4789,1930,907,31922,4779
04000US29,Missouri,6093000,0,5011507,6627,702946,7236,30888,3351,117335,3722,9193,2040,71031,6374,150100,8621,9875,2153,140225,8441
04000US30,Montana,1042520,0,927374,1791,3949,1039,66231,2513,8432,1383,578,331,3738,1189,32218,2943,1486,627,30732,2809
04000US31,Nebraska,1907116,0,1674863,6044,89879,3076,15865,1390,41548,3337,1227,579,38348,5844,45386,4417,3435,975,41951,4250
04000US32,Nevada,2940058,0,1966690,14686,260993,5352,34267,3549,244373,5223,20240,1777,274293,14398,139202,9741,22212,4390,116990,8027
04000US33,New Hampshire,1334795,0,1247155,2813,16671,1681,1450,764,32679,2286,66,87,8057,2144,28717,2992,2510,969,26207,2726
04000US34,New Jersey,8944469,0,6090908,22621,1194585,11078,20185,3332,854181,6311,3754,1973,543530,20839,237326,12507,57276,5500,180050,10615
04000US35,New Mexico,2081015,0,1539634,11642,41043,2715,194133,4641,32346,2297,1428,667,206526,11007,65905,6313,24708,4015,41197,4312
04000US36,New York,19745289,0,12530463,29879,3080534,18978,73052,6204,1668036,11780,9236,2216,1767107,34876,616861,22455,148081,12174,468780,19051
04000US37,North Carolina,10146788,0,6989065,14006,2182212,12962,120843,4912,275428,4413,6081,1112,304293,14221,268866,12841,26131,4676,242735,11901
04000US38,North Dakota,757953,0,660919,3096,19250,2426,41649,2292,9200,1807,233,278,5114,2109,21588,2952,2880,1334,18708,2599
04000US39,Ohio,11614373,0,9476221,11069,1443510,10409,18081,2486,239025,3799,4031,1045,109073,9109,324432,12837,24953,3354,299479,12789
04000US40,Oklahoma,3923561,0,2841467,7869,287373,4830,297948,7020,79246,2991,6143,1280,107778,7573,303606,7998,14120,2324,289486,7968
04000US41,Oregon,4093465,0,3455810,13019,79575,4274,45426,4348,169459,4996,14823,2564,120779,10539,207593,10682,16485,3531,191108,10675
04000US42,Pennsylvania,12784227,0,10340877,15158,1407047,11772,23556,3760,423180,5309,3417,1040,262396,14058,323754,13735,41390,5747,282364,11719
