"","State","Dunkin"
"1","Alabama",18
"2","Alaska",0
"3","Arizona",59
"4","Arkansas",7
"5","California",2
"6","Colorado",8
"7","Connecticut",508
"8","Deleware",62
"9","Florida",705
"10","Georgia",130
"11","Hawaii",0
"12","Idaho",0
"13","Illinois",528
"14","Indiana",56
"15","Iowa",10
"16","Kansas",9
"17","Kentucky",14
"18","Louisiana",5
"19","Maine",143
"20","Maryland",205
"21","Massachusetts",1151
"22","Michigan",61
"23","Minnesota",0
"24","Mississippi",4
"25","Missouri",15
"26","Montana",0
"27","Nebraska",4
"28","Nevada",17
"29","New Hampshire",215
"30","New Jersey",798
"31","New Mexico",8
"32","New York",1326
"33","North Carolina",300
"34","North Dakota",0
"35","Ohio",111
"36","Oklahoma",4
"37","Oregon",0
"38","Pennsylvania",513
"39","Rhode Island",177
"40","South Carolina",103
"41","South Dakota",0
"42","Tennessee",65
"43","Texas",56
"44","Utah",8
"45","Vermont",49
"46","Virginia",168
"47","Washington",0
"48","District of Columbia",21
"49","West Virginia",8
"50","Wisconsin",26
"51","Wyoming",0
