"","State_Abbreviation","Starbucks"
"1","AK",42
"2","AL",65
"3","AR",37
"4","AZ",391
"5","CA",2456
"6","CO",421
"7","CT",97
"8","DC",83
"9","DE",17
"10","FL",567
"11","GA",262
"12","HI",84
"13","IA",55
"14","ID",51
"15","IL",506
"16","IN",173
"17","KS",69
"18","KY",87
"19","LA",67
"20","MA",203
"21","MD",213
"22","ME",25
"23","MI",211
"24","MN",127
"25","MO",142
"26","MS",21
"27","MT",23
"28","NC",239
"29","ND",11
"30","NE",40
"31","NH",23
"32","NJ",195
"33","NM",59
"34","NV",213
"35","NY",516
"36","OH",288
"37","OK",68
"38","OR",332
"39","PA",270
"40","RI",23
"41","SC",84
"42","SD",19
"43","TN",139
"44","TX",830
"45","UT",58
"46","VA",358
"47","VT",4
"48","WA",689
"49","WI",116
"50","WV",20
"51","WY",16
"52","WI",116
"53","WV",20
"54","WY",16
