episodenumbers,colorcodes,year,count
1461,#FFFF66,1979,20
1462,#0099FF,1979,31
1463,#FF0000,1979,54
1464,#666666,1979,24
1465,#FFFF66,1979,20
1466,#666666,1980,24
1467,#FFFF66,1980,20
1468,#0099FF,1980,31
1469,#666666,1980,24
1470,#0099FF,1980,31
1470,#009900,1980,74
1472,#666666,1980,24
1473,#FFFF66,1980,20
1474,#0099FF,1980,31
1475,#0099FF,1980,31
1476,#FFFF66,1981,20
1477,#009900,1981,74
1478,#666666,1981,24
1479,#009900,1981,74
1480,#0099FF,1981,31
1481,#009900,1981,74
1482,#FFFF66,1981,20
1483,#666666,1981,24
1484,#0099FF,1981,31
1485,NA,1981,8
1486,#009900,1981,74
1487,#666666,1981,24
1488,#0099FF,1981,31
1489,#0099FF,1981,31
1490,#009900,1981,74
1491,#663300,1982,8
1492,#009900,1982,74
1493,#666666,1982,24
1494,#0099FF,1982,31
1495,#FFFF66,1982,20
1496,#009900,1982,74
1497,#33FF99,1982,1
1498,#666666,1982,24
1499,#FFFF66,1982,20
1500,#0099FF,1982,31
1501,#0099FF,1982,31
1502,#009900,1982,74
1503,#999999,1982,10
1504,#663300,1982,8
1505,#FFFF66,1982,20
1506,#009900,1982,74
1507,#0099FF,1982,31
1508,#999999,1982,10
1509,#FFFF66,1982,20
1510,#666666,1982,24
1511,#009900,1983,74
1512,#FFFF66,1983,20
1513,#0099FF,1983,31
1514,#999999,1983,10
1515,#666666,1983,24
1516,#999999,1983,10
1517,#009900,1983,74
1518,#FFFF66,1983,20
1519,#0099FF,1983,31
1520,#999999,1983,10
1521,#009900,1983,74
1522,#0099FF,1983,31
1523,#666666,1983,24
1524,#FFFF66,1983,20
1525,#663300,1983,8
1526,#0099FF,1984,31
1527,#009900,1984,74
1528,#663300,1984,8
1529,#999999,1984,10
1530,#666666,1984,24
1531,#666666,1984,24
1532,#0099FF,1984,31
1533,#009900,1984,74
1534,#0099FF,1984,31
1535,NA,1984,8
1536,#009900,1984,74
1537,#999999,1984,10
1538,#663300,1984,8
1539,#009900,1984,74
