fips,name_of_county,state_abbrev,county_state
1001,Autauga,AL,"Autauga, AL"
1003,Baldwin,AL,"Baldwin, AL"
1005,Barbour,AL,"Barbour, AL"
1007,Bibb,AL,"Bibb, AL"
1009,Blount,AL,"Blount, AL"
1011,Bullock,AL,"Bullock, AL"
1013,Butler,AL,"Butler, AL"
1015,Calhoun,AL,"Calhoun, AL"
1017,Chambers,AL,"Chambers, AL"
1019,Cherokee,AL,"Cherokee, AL"
1021,Chilton,AL,"Chilton, AL"
1023,Choctaw,AL,"Choctaw, AL"
1025,Clarke,AL,"Clarke, AL"
1027,Clay,AL,"Clay, AL"
1029,Cleburne,AL,"Cleburne, AL"
1031,Coffee,AL,"Coffee, AL"
1033,Colbert,AL,"Colbert, AL"
1035,Conecuh,AL,"Conecuh, AL"
1037,Coosa,AL,"Coosa, AL"
1039,Covington,AL,"Covington, AL"
1041,Crenshaw,AL,"Crenshaw, AL"
1043,Cullman,AL,"Cullman, AL"
1045,Dale,AL,"Dale, AL"
1047,Dallas,AL,"Dallas, AL"
1049,De Kalb,AL,"De Kalb, AL"
1051,Elmore,AL,"Elmore, AL"
1053,Escambia,AL,"Escambia, AL"
1055,Etowah,AL,"Etowah, AL"
1057,Fayette,AL,"Fayette, AL"
1059,Franklin,AL,"Franklin, AL"
1061,Geneva,AL,"Geneva, AL"
1063,Greene,AL,"Greene, AL"
1065,Hale,AL,"Hale, AL"
1067,Henry,AL,"Henry, AL"
1069,Houston,AL,"Houston, AL"
1071,Jackson,AL,"Jackson, AL"
1073,Jefferson,AL,"Jefferson, AL"
1075,Lamar,AL,"Lamar, AL"
1077,Lauderdale,AL,"Lauderdale, AL"
1079,Lawrence,AL,"Lawrence, AL"
1081,Lee,AL,"Lee, AL"
1083,Limestone,AL,"Limestone, AL"
1085,Lowndes,AL,"Lowndes, AL"
1087,Macon,AL,"Macon, AL"
1089,Madison,AL,"Madison, AL"
1091,Marengo,AL,"Marengo, AL"
1093,Marion,AL,"Marion, AL"
1095,Marshall,AL,"Marshall, AL"
1097,Mobile,AL,"Mobile, AL"
1099,Monroe,AL,"Monroe, AL"
1101,Montgomery,AL,"Montgomery, AL"
1103,Morgan,AL,"Morgan, AL"
1105,Perry,AL,"Perry, AL"
1107,Pickens,AL,"Pickens, AL"
1109,Pike,AL,"Pike, AL"
1111,Randolph,AL,"Randolph, AL"
1113,Russell,AL,"Russell, AL"
1115,St Clair,AL,"St Clair, AL"
1117,Shelby,AL,"Shelby, AL"
